Team,Attacking Wins,Attacking Losses,Total Attack Rounds Played,Attacking Win Percentage (%),Defending Wins,Defending Losses,Total Defense Rounds Played,Defense Win Percentage (%),Total Rounds Played,Region
100 Thieves,117,94,211,55.45,105,124,229,45.85,440,Americas
BBL Esports,66,58,124,53.23,78,60,138,56.52,262,EMEA
Cloud9,79,76,155,50.97,98,97,195,50.26,350,Americas
DetonatioN FocusMe,77,82,159,48.43,82,82,164,50,323,Pacific
DRX,96,74,170,56.47,78,91,169,46.15,339,Pacific
ENVY,68,87,155,43.87,81,68,149,54.36,304,Americas
Evil Geniuses,56,65,121,46.28,75,60,135,55.56,256,Americas
FNATIC,124,132,256,48.44,115,103,218,52.75,474,EMEA
FULL SENSE,69,56,125,55.2,47,65,112,41.96,237,Pacific
FURIA,74,54,128,57.81,69,64,133,51.88,261,Americas
FUT Esports,36,55,91,39.56,45,51,96,46.88,187,EMEA
G2 Esports,76,56,132,57.58,67,56,123,54.47,255,Americas
Gen.G Esports,63,69,132,47.73,66,68,134,49.25,266,Pacific
Gentle Mates,105,83,188,55.85,97,85,182,53.3,370,EMEA
GIANTX,56,60,116,48.28,70,76,146,47.95,262,EMEA
Global Esports,90,83,173,52.02,99,81,180,55,353,Pacific
Karmine Corp,59,58,117,50.43,57,56,113,50.44,230,EMEA
KRÜ Esports,37,57,94,39.36,30,40,70,42.86,164,Americas
LEVIATÁN ,51,65,116,43.97,56,59,115,48.7,231,Americas
LOUD,39,46,85,45.88,26,35,61,42.62,146,Americas
MIBR,96,83,179,53.63,77,108,185,41.62,364,Americas
Natus Vincere,58,71,129,44.96,68,64,132,51.52,261,EMEA
Nongshim RedForce,89,45,134,66.42,61,55,116,52.59,250,Pacific
NRG Esports,91,73,164,55.49,83,72,155,53.55,319,Americas
Paper Rex,107,102,209,51.2,107,116,223,47.98,432,Pacific
PCIFIC Esports,36,50,86,41.86,36,47,83,43.37,169,EMEA
Rex Regum Qeon,102,75,177,57.63,64,107,171,37.43,348,Pacific
Sentinels,46,54,100,46,43,47,90,47.78,190,Americas
T1,101,64,165,61.21,91,90,181,50.28,346,Pacific
Team Heretics,74,61,135,54.81,66,84,150,44,285,EMEA
Team Liquid,130,110,240,54.17,120,117,237,50.63,477,EMEA
Team Secret,31,40,71,43.66,20,42,62,32.26,133,Pacific
Team Vitality,71,64,135,52.59,74,71,145,51.03,280,EMEA
ULF Esports,45,54,99,45.45,30,46,76,39.47,175,EMEA
VARREL,39,52,91,42.86,42,54,96,43.75,187,Pacific
ZETA DIVISION,52,48,100,52,33,65,98,33.67,198,Pacific
All Gamers,59,58,117,50.43,70,62,132,53.03,249,China
Bilibili Gaming,100,97,197,50.76,101,105,206,49.03,403,China
EDward Gaming,117,106,223,52.47,92,85,177,51.98,400,China
FunPlus Phoenix,33,47,80,41.25,21,40,61,34.43,141,China
JDG Esports,76,77,153,49.67,96,91,187,51.34,340,China
Nova Esports,21,34,55,38.18,27,36,63,42.86,118,China
Titan Esports Club,70,74,144,48.61,54,57,111,48.65,255,China
Trace Esports,80,57,137,58.39,55,85,140,39.29,277,China
TYLOO,85,59,144,59.03,76,86,162,46.91,306,China
Wolves Esports,62,69,131,47.33,72,84,156,46.15,287,China
Xi Lai Gaming,83,68,151,54.97,86,51,137,62.77,288,China
Dragon Ranger Gaming,68,79,147,46.26,70,74,144,48.61,291,China
