Team,Defense Wins,Defense Losses,Defense Win Percentage (%),Attack Wins,Attack Losses,Attacking Win Percentage (%),Region,,,,Game ,Vlr ,Checked & Inputted?,,,Defense Wins,Defense Losses,Attack Wins,Attack Losses
All Gamers,97,141,40.76,130,116,52.85,China,,,,GenG vs Secret,https://www.vlr.gg/644677/gen-g-vs-team-secret-vct-2026-pacific-stage-1-w5,TRUE,TRUE,GenG,17,15,14,22
Bilibili Gaming,53,63,45.69,86,56,60.56,China,,,,Varrel vs ZETA,https://www.vlr.gg/644678/varrel-vs-zeta-division-vct-2026-pacific-stage-1-w5,TRUE,TRUE,Secret,22,14,15,17
Dragon Ranger Gaming,138,160,46.31,150,123,54.95,China,,,,T1 Full Sense,https://www.vlr.gg/644679/t1-vs-full-sense-vct-2026-pacific-stage-1-w5,TRUE,TRUE,T1,42,44,41,42
EDward Gaming,150,114,56.82,146,109,57.25,China,,,,Nongshim Global,https://www.vlr.gg/644680/nongshim-redforce-vs-global-esports-vct-2026-pacific-stage-1-w5,TRUE,TRUE,Full Sense,42,48,59,39
FunPlus Phoenix,58,72,44.62,63,69,47.73,China,,,,PRX DRX,https://www.vlr.gg/644681/paper-rex-vs-kiwoom-drx-vct-2026-pacific-stage-1-w5,TRUE,TRUE,Nongshim,24,43,20,32
JDG Esports,104,127,45.02,97,109,47.09,China,,,,RRQ DFM,https://www.vlr.gg/644682/rex-regum-qeon-vs-detonation-focusme-vct-2026-pacific-stage-1-w5,TRUE,TRUE,Global,66,79,70,64
Nova Esports,44,57,43.56,40,66,37.74,China,,,,RRQ GE,https://www.vlr.gg/666488/rex-regum-qeon-vs-global-esports-vct-2026-pacific-stage-1-ur1,TRUE,TRUE,PRX,97,81,101,63
Titan Esports Club,97,102,48.74,100,105,48.78,China,,,,DRX FS,https://www.vlr.gg/666489/kiwoom-drx-vs-full-sense-vct-2026-pacific-stage-1-ur1,TRUE,TRUE,DRX,32,44,53,53
Trace Esports,64,78,45.07,83,87,48.82,China,,,,PRX GE,https://www.vlr.gg/666490/paper-rex-vs-global-esports-vct-2026-pacific-stage-1-ubsf,TRUE,TRUE,RRQ,66,60,59,62
TYLOO,131,133,49.62,132,120,52.38,China,,,,T1 Full Sense,https://www.vlr.gg/666491/t1-vs-full-sense-vct-2026-pacific-stage-1-ubsf,TRUE,TRUE,DFM,35,37,37,37
Wolves Esports,51,69,42.5,41,57,41.84,China,,,,RRQ DFM,https://www.vlr.gg/666494/rex-regum-qeon-vs-detonation-focusme-vct-2026-pacific-stage-1-lr1,TRUE,TRUE,ZETA,18,17,18,14
Xi Lai Gaming,156,133,53.98,181,126,58.96,China,,,,DRX NS,https://www.vlr.gg/666495/kiwoom-drx-vs-nongshim-redforce-vct-2026-pacific-stage-1-lr1,TRUE,TRUE,Varrel,14,18,17,18
BBL Esports,73,78,48.34,60,81,42.55,EMEA,,,,T1 RRQ,https://www.vlr.gg/666496/t1-vs-rex-regum-qeon-vct-2026-pacific-stage-1-lr2,TRUE,,,,,,
Eternal Fire,124,133,48.25,140,106,56.91,EMEA,,,,PRX DRX,https://www.vlr.gg/666497/paper-rex-vs-kiwoom-drx-vct-2026-pacific-stage-1-lr2,TRUE,,,,,,
FNATIC,84,94,47.19,110,76,59.14,EMEA,,,,GE FS,https://www.vlr.gg/666492/global-esports-vs-full-sense-vct-2026-pacific-stage-1-ubf,TRUE,,,,,,
FUT Esports,117,124,48.55,127,129,49.61,EMEA,,,,T1 PRX,https://www.vlr.gg/666498/t1-vs-paper-rex-vct-2026-pacific-stage-1-lr3,TRUE,,,,,,
Gentle Mates,81,89,47.65,82,99,45.3,EMEA,,,,GE PRX,https://www.vlr.gg/666499/global-esports-vs-paper-rex-vct-2026-pacific-stage-1-lbf,TRUE,,,,,,
GIANTX,68,63,51.91,64,83,43.54,EMEA,,,,FS PRX,https://www.vlr.gg/666493/full-sense-vs-paper-rex-vct-2026-pacific-stage-1-gf,TRUE,,,,,,
Karmine Corp,53,74,41.73,66,80,45.21,EMEA,,,,LEV MIBR,https://www.vlr.gg/645493/leviat-n-vs-mibr-vct-2026-americas-stage-1-w4,TRUE,,,,,,
