Team,Defense Wins,Defense Losses,Defense Win Percentage (%),Attack Wins,Attack Losses,Attacking Win Percentage (%),Region
All Gamers,97,141,40.76,130,116,52.85,China
Bilibili Gaming,53,63,45.69,86,56,60.56,China
Dragon Ranger Gaming,138,160,46.31,150,123,54.95,China
EDward Gaming,150,114,56.82,146,109,57.25,China
FunPlus Phoenix,58,72,44.62,63,69,47.73,China
JDG Esports,104,127,45.02,97,109,47.09,China
Nova Esports,44,57,43.56,40,66,37.74,China
Titan Esports Club,97,102,48.74,100,105,48.78,China
Trace Esports,64,78,45.07,83,87,48.82,China
TYLOO,131,133,49.62,132,120,52.38,China
Wolves Esports,51,69,42.50,41,57,41.84,China
Xi Lai Gaming,156,133,53.98,181,126,58.96,China
BBL Esports,73,78,48.34,60,81,42.55,EMEA
Eternal Fire,124,133,48.25,140,106,56.91,EMEA
FNATIC,84,94,47.19,110,76,59.14,EMEA
FUT Esports,117,124,48.55,127,129,49.61,EMEA
Gentle Mates,81,89,47.65,82,99,45.30,EMEA
GIANTX,68,63,51.91,64,83,43.54,EMEA
Karmine Corp,53,74,41.73,66,80,45.21,EMEA
Natus Vincere,75,67,52.82,61,78,43.88,EMEA
PCIFIC Esports,50,85,37.04,60,66,47.62,EMEA
Team Heretics,187,167,52.82,186,142,56.71,EMEA
Team Liquid,95,81,53.98,91,95,48.92,EMEA
Team Vitality,128,149,46.21,157,100,61.09,EMEA
DetonatioN FocusMe,46,61,42.99,59,51,53.64,Pacific 
DRX,58,52,52.73,70,59,54.26,Pacific 
FULL SENSE,50,48,51.02,55,31,63.95,Pacific 
Gen.G Esports,58,57,50.43,38,61,38.38,Pacific 
Global Esports,41,40,50.62,39,42,48.15,Pacific 
Nongshim RedForce,57,58,49.57,70,57,55.12,Pacific 
Paper Rex,76,44,63.33,51,51,50.00,Pacific 
Rex Regum Qeon,50,60,45.45,65,47,58.04,Pacific 
T1,47,32,59.49,59,33,64.13,Pacific 
Team Secret,36,63,36.36,46,56,45.10,Pacific 
VARREL,35,71,33.02,55,47,53.92,Pacific 
ZETA DIVISION,33,69,32.35,48,52,48.00,Pacific 
100 Thieves,73,82,47.10,103,77,57.22,Americas
Cloud9,48,74,39.34,58,73,44.27,Americas
ENVY,56,66,45.90,57,52,52.29,Americas
Evil Geniuses,42,67,38.53,34,49,40.96,Americas
FURIA,74,77,49.01,83,88,48.54,Americas
G2 Esports,101,80,55.80,87,55,61.27,Americas
KRÃœ Esports,60,45,57.14,48,56,46.15,Americas
LeviatÃ¡n,56,35,61.54,63,39,61.76,Americas
LOUD,48,70,40.68,63,65,49.22,Americas
MIBR,49,61,44.55,52,55,48.60,Americas
NRG Esports,62,62,50.00,73,56,56.59,Americas
Sentinels,56,57,49.56,55,60,47.83,Americas
