Player,Agent,VLR Rating
jawgemo,Iso,0.88
Meteor,Iso,0.83
Lar0k,Jett,1.57
something,Jett,1.08
keiko,Jett,0.98
BuZz,Jett,0.83
Dambi,Neon,1.16
mada,Neon,1.08
BuZz,Neon,1.04
jawgemo,Neon,0.89
MiniBoo,Neon,0.81
bipo,Neon,0.8
alym,Neon,0.79
Jinggg,Neon,0.79
Zmjjkk,Neon,0.72
cb,Neon,0.68
Lar0k,Neon,0.65
iamgrq,Neon,0.62
Rarga,Neon,0.56
jawgemo,Phoenix,1.46
marteen,Phoenix,1.14
Jinggg,Phoenix,0.93
K1ra,Raze,1.04
Jinggg,Raze,0.92
keiko,Raze,0.83
BuZz,Raze,0.82
bipo,Raze,0.44
BuZz,Waylay,1.56
Lar0k,Waylay,1.42
something,Waylay,1.03
Dambi,Waylay,0.97
BABYBAY,Waylay,0.93
mada,Waylay,0.92
f4ngeer,Waylay,0.92
kamo,Waylay,0.84
bipo,Waylay,0.84
NoMan,Waylay,0.75
alym,Waylay,0.71
iamgrq,Waylay,0.64
f0rsakeN,Waylay,0.32
marteen,Yoru,1.45
f0rsakeN,Yoru,1.1
iZu,Yoru,1.09
Francis,Yoru,1.08
mada,Yoru,1.05
something,Yoru,1.01
BuZz,Yoru,1.01
f4ngeer,Yoru,1
kamo,Yoru,0.97
leaf,Yoru,0.95
koalanoob,Yoru,0.94
lovers rock,Yoru,0.93
cb,Yoru,0.9
Rarga,Yoru,0.88
BABYBAY,Yoru,0.86
